name,pack,price,shield_type,length,sheath_color,conductor_strand_type,outer_sheath_material,awg,strand_num,core_strands,outer_diameter,voltage_rating,attenuation,strand_size,fire_behavior,cross_sectional_area
RS Pro Blue 10m Cat6 Ethernet Cable Assembly RJ45,Each,PHP558.55,U/UTP,10m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
Patch cord Cat6 UTP LSZH Black 15m,Each,PHP764.77,UTP,15m,Black,-,LSZH,-,-,-,-,-,-,-,-,-
Cat 6 90deg angled patch cable LSZH 5m,Each,"PHP1,289.23",S/FTP,5m,Grey,-,LSZH,-,-,-,-,-,-,-,-,-
"Belden Orange Cat6 Cable U/UTP PVC, 304m",1 Reel of 304 Metre(s),"PHP21,523.62",U/UTP,304m,Orange,Solid,PVC,23 AWG,1,1/23,9.27mm,300 V,1.9 dB/100m @ 1MHz,-,-,0.26 mm²
Patch cord Cat6 FTP LSZH Black 30m,Each,"PHP1,575.81",FTP,30m,Black,-,LSZH,-,-,-,-,-,-,-,-,-
RS Pro Blue 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP147.31,S/FTP,2m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Black 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP147.31,S/FTP,2m,Black,-,PVC,-,-,-,-,-,-,-,-,-
har-port Cat 6 patch cable 8.0m,Each,"PHP2,299.89",SF/UTP,8m,Yellow,-,PUR,-,-,-,-,-,-,-,-,-
RS Pro Blue 3m Cat6 Ethernet Cable Assembly RJ45,Each,PHP364.81,F/UTP,3m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
RS Pro Yellow 500mm Cat6 Ethernet Cable Assembly RJ45,Each,PHP167.44,F/UTP,500mm,Yellow,-,LSZH,-,-,-,-,-,-,-,-,-
RS Pro Grey 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP186.45,U/UTP,2m,Grey,-,PVC,-,-,-,-,-,-,-,-,-
Brand-Rex Yellow 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP750.97,S/FTP,2m,Yellow,-,LSZH,-,-,-,-,-,-,-,-,-
Brand-Rex Green 5m Cat6 Ethernet Cable Assembly RJ45,Each,PHP975.76,U/UTP,5m,Green,-,LSZH,-,-,-,-,-,-,-,-,-
COMMSCOPE White 10m Cat6 Ethernet Cable Assembly RJ45,Each (In a Bag of 10),"PHP2,133.20",U/UTP,10m,White,-,LSZH,-,-,-,-,-,-,-,-,-
Harting Green 10m Cat6 Ethernet Cable Assembly RJ45,1 Bag of 1,"PHP4,031.75",U/FTP,10m,Green,-,PVC,-,-,-,-,-,-,-,-,-
"RS Pro Grey Cat6 Cable F/UTP PVC, 305m",1 Reel of 305 Metre(s),"PHP15,750.90",F/UTP,305m,Grey,Solid,PVC,23 AWG,1,1/23,7.4mm,-,-,23 AWG,-,-
"Cat6 RJ45 UTP patch cable, white, 5m",Each (In a Bag of 20),"PHP1,410.93",-,-,-,-,-,-,-,-,-,-,-,-,-,-
RS Pro Green 500mm Cat6 Ethernet Cable Assembly RJ45,Each,PHP100.30,U/UTP,500mm,Green,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Red 1m Cat6 Ethernet Cable Assembly RJ45,Each,PHP204.65,F/UTP,1m,Red,-,LSZH,-,-,-,-,-,-,-,-,-
"CAE Blue Cat6 Cable U/FTP PVC, 100m",1 Reel of 100 Metre(s),"PHP5,481.92",U/FTP,100m,Blue,Stranded,PVC,26 AWG,7,7/26,5.6mm,-,46.9 Db@200 Mhz,26 AWG,-,-
COMMSCOPE Blue 1m Cat6 Ethernet Cable Assembly RJ45,Each,"PHP1,008.14",U/UTP,1m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
Patch cord Cat6 UTP LSZH Grey 15m,Each,PHP764.77,UTP,15m,Grey,-,LSZH,-,-,-,-,-,-,-,-,-
RS Pro Red 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP204.25,U/UTP,2m,Red,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Black 1m Cat6 Ethernet Cable Assembly RJ45,Each,PHP179.58,F/UTP,1m,Black,-,LSZH,-,-,-,-,-,-,-,-,-
COMMSCOPE Blue 1m Cat6 Ethernet Cable Assembly RJ45,Each (In a Bag of 60),"PHP1,561.783",U/UTP,1m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
COMMSCOPE White 2m Cat6 Ethernet Cable Assembly RJ45,Each (In a Bag of 50),"PHP1,714.04",U/UTP,2m,White,-,LSZH,-,-,-,-,-,-,-,-,-
