name,pack,price,coaxial_type,outer_diameter,characteristic_impedance,reel_length,sheath_color,sheath_material,insulation_material,conductor_material,conductor_strand_type,core_strands,number_of_strands,size_of_strands,connector_type,attenuation
"Belden Grey RG6 Coaxial Cable, Low Smoke Zero Halogen (LSZH) Sheath 100m, 75 Ω, 6.75mm OD",1 Reel of 100 Metre(s),"PHP8,005.28",RG6,6.75mm,75 Ω,100m,Grey,Low Smoke Zero Halogen (LSZH),Foam PE,Bare Copper,Solid,1/18,1,18 AWG,-,"14.1 dB/100m @ 400MHz, 19 dB/100m @ 700MHz, 22 dB/100m @ 900MHz, 23.3 dB/100m @ 1GHz"
"RS Pro Black RG174 Coaxial Cable, , 50 Ω",Each,PHP552.83,RG174,-,50 Ω,-,Black,-,PTFE,Brass,-,-,-,-,-,-
"RS Pro Black RG6 Coaxial Cable, Polyvinyl Chloride PVC Sheath 250m, 75 Ω, 6.5mm OD",1 Reel of 250 Metre(s),"PHP3,879.09",RG6,6.5mm,75 Ω,250m,Black,Polyvinyl Chloride PVC,FPE,Copper Clad Steel,Solid,1/1,1,1 mm,-,5.2 dB/100m @ 100 MHz
"Atem RG174 Coaxial Cable, , 50 Ω",Each,"PHP1,383.39",RG174,-,50 Ω,-,-,-,PE,Tinned Copper,Stranded,-,-,0.16 mm,-,-
"Alpha Wire Transparent RG178B/U Coaxial Cable, EFF Sheath 30m, 50 Ω, 1.8mm OD",1 Reel of 30 Metre(s),"PHP5,824.48",RG178B/U,1.8mm,50 Ω,30m,Transparent,EFF,TFE,Silver Plated Copper,Solid,1/0.3,1,0.3 mm,-,4.4 dB/10m @ 100MHz
"RS Pro Black RG59 Shotgun Cable, Polyvinyl Chloride PVC Sheath 100m, 75 Ω, 6mm + 5mm OD",1 Reel of 100 Metre(s),"PHP5,952.29",RG59,6mm + 5mm,75 Ω,100m,Black,Polyvinyl Chloride PVC,"PE, PVC",Copper,Stranded,"1/0.71, 16/0.92",16,0.92 mm,-,"3 dB/100m @ 10MHz, 5.6 dB/100m @ 50MHz, 7.9 dB/100m @ 100MHz, 12.3 dB/100m @ 230MHz, 14.2 dB/100m @ 3GHz, 16 dB/100m @ 400MHz, 24.7 dB/100m @ 860MHz, 26.1 dB/100m @ 1GHz"
"RS Pro Black RG174A/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 20m, 50 Ω, 2.79mm OD",1 Reel of 20 Metre(s),"PHP1,085.95",RG174A/U,2.79mm,50 Ω,20m,Black,Polyvinyl Chloride PVC,PE,Copper Clad Steel,Stranded,7/0.16,7,0.16 mm,B,"42 dB/100m @ 200MHz, 60 dB/100m @ 400MHz, 220 dB/100m @ 3GHz"
"RS Pro Brown RG178B/U Coaxial Cable, FEP Sheath, 50 Ω, 1.85mm OD",1 Reel of 25 Metre(s),"PHP2,067.89",RG178B/U,1.85mm,50 Ω,-,Brown,FEP,PTFE,Silver Plated Copper Clad Steel,Stranded,7/0.1,7,0.1 mm,-,151 dB @ 1GHz
"RS Pro Brown RG178B/U Coaxial Cable, FEP Sheath, 50 Ω, 1.85mm OD",1 Reel of 100 Metre(s),"PHP8,674.46",RG178B/U,1.85mm,50 Ω,-,Brown,FEP,PTFE,Silver Plated Copper Clad Steel,Stranded,7/0.1,7,0.102 mm,-,151 dB @ 1GHz
"RS Pro Black RG59 Coaxial Cable, Polyvinyl Chloride PVC Sheath 200 m, 75 Ω, 6mm + 5mm OD",1 Reel of 200 Metre(s),"PHP10,915.70",RG59,6mm + 5mm,75 Ω,200 m,Black,Polyvinyl Chloride PVC,"PE, PVC",Copper,Stranded,"1/0.71, 16/0.92",16,0.92 mm,-,"3 dB/100m @ 10MHz, 5.6 dB/100m @ 50MHz, 7.9 dB/100m @ 100MHz, 12.3 dB/100m @ 230MHz, 14.2 dB/100m @ 3GHz, 16 dB/100m @ 400MHz, 24.7 dB/100m @ 860MHz, 26.1 dB/100m @ 1GHz"
"Belden Black RG59/U Coaxial Cable, Polyvinyl Chloride PVC Sheath 152m, 75 Ω, 5.92mm OD",1 Reel of 152 Metre(s),"PHP31,562.47",RG59/U,5.92mm,75 Ω,152m,Black,Polyvinyl Chloride PVC,Foam HDPE,Bare Copper,Solid,1/20,1,20 AWG,S,"10.9 dB/100ft @ 2GHz, 11.6 dB/100ft @ 2250MHz, 13.4 dB/100ft @ 3GHz, 16.4 dB/100ft @ 4500MHz"
"Alpha Wire White RG196A/U Coaxial Cable, Polytetrafluoroethylene PTFE Sheath 30m, 50 Ω, 1.91mm OD",1 Reel of 30 Metre(s),"PHP5,646.93",RG196A/U,1.91mm,50 Ω,30m,White,Polytetrafluoroethylene PTFE,PTFE,Silver Plated Copper Clad Steel,Stranded,7/38,7,38 AWG,-,29 dB/100ft @ 400MHz
